Date,AAPL,MSFT,AMZN,META,NVDA,SPY,TLT,GLD
2018-01-02,40.3809928894043,79.19834899902344,59.45050048828125,180.4301300048828,4.929084777832031,238.56875610351562,102.04444885253906,125.1500015258789
2018-01-03,40.373966217041016,79.5669174194336,60.209999084472656,183.66241455078125,5.253488063812256,240.0777130126953,102.53234100341797,124.81999969482422
2018-01-04,40.56149673461914,80.2671890258789,60.47949981689453,183.32427978515625,5.281179904937744,241.08958435058594,102.51612854003906,125.45999908447266
2018-01-05,41.0233039855957,81.26236724853516,61.457000732421875,185.83053588867188,5.325933933258057,242.69622802734375,102.22339630126953,125.33000183105469
2018-01-08,40.87093734741211,81.34528350830078,62.34349822998047,187.25271606445312,5.489124774932861,243.13999938964844,102.15828704833984,125.30999755859375
2018-01-09,40.866249084472656,81.29002380371094,62.6349983215332,186.84494018554688,5.487639904022217,243.69039916992188,100.79216003417969,124.7300033569336
2018-01-10,40.856868743896484,80.92144775390625,62.71649932861328,186.8151092529297,5.530663013458252,243.31756591796875,100.67022705078125,125.02999877929688
2018-01-11,41.08894348144531,81.16101837158203,63.83399963378906,186.74551391601562,5.540554523468018,245.09283447265625,101.08490753173828,125.44000244140625
2018-01-12,41.513240814208984,82.56160736083984,65.26000213623047,178.39132690429688,5.513356685638428,246.69064331054688,101.25569152832031,126.95999908447266
2018-01-16,41.30226516723633,81.4098129272461,65.24299621582031,177.4166717529297,5.442392349243164,245.8473358154297,101.67851257324219,127.16999816894531
2018-01-17,41.98442459106445,83.05919647216797,64.75,176.63099670410156,5.556378364562988,248.19061279296875,101.5403060913086,126.13999938964844
2018-01-18,42.02192687988281,83.0223388671875,64.66600036621094,178.8189697265625,5.549454689025879,247.7734375,100.59705352783203,125.86000061035156
2018-01-19,41.83439636230469,82.9301986694336,64.72899627685547,180.3008575439453,5.689651012420654,248.90078735351562,100.06845092773438,126.41999816894531
2018-01-22,41.49214172363281,84.41372680664062,66.3655014038086,184.3585968017578,5.778168201446533,250.92459106445312,100.16603088378906,126.6500015258789
2018-01-23,41.501522064208984,84.68094635009766,68.12699890136719,188.31686401367188,5.907238483428955,251.45712280273438,100.59705352783203,127.27999877929688
2018-01-24,40.84046173095703,84.60723114013672,67.87550354003906,185.53216552734375,5.830338954925537,251.3595428466797,100.05221557617188,128.8300018310547
2018-01-25,40.111412048339844,85.0771484375,68.89749908447266,186.45709228515625,5.843940258026123,251.4659881591797,100.87350463867188,127.97000122070312
2018-01-26,40.2051887512207,86.67124938964844,70.10250091552734,188.96331787109375,6.016525745391846,254.37744140625,100.4994125366211,128.07000732421875
2018-01-29,39.37299346923828,86.54228973388672,70.88400268554688,184.9652557373047,6.103560447692871,252.6909942626953,99.80014038085938,127.3499984741211
2018-01-30,39.14091873168945,85.45496368408203,71.89099884033203,186.0990447998047,6.001441955566406,250.0990753173828,99.2146224975586,126.80000305175781
2018-01-31,39.248756408691406,87.5466537475586,72.54450225830078,185.8702850341797,6.0775980949401855,250.2233123779297,99.80014038085938,127.6500015258789
2018-02-01,39.3307991027832,86.85554504394531,69.5,192.03648376464844,5.94655179977417,249.93927001953125,98.3537368774414,128.07000732421875
2018-02-02,37.62422180175781,84.57036590576172,71.49749755859375,189.24180603027344,5.773965358734131,244.4981231689453,97.44110870361328,126.38999938964844
2018-02-05,36.6842041015625,81.08727264404297,69.5,180.27102661132812,5.283899307250977,234.27259826660156,98.36189270019531,126.70999908447266
2018-02-06,38.217323303222656,84.15573120117188,72.14199829101562,184.29893493652344,5.577641010284424,238.8883514404297,97.7507553100586,125.37999725341797
2018-02-07,37.3991813659668,82.57083129882812,70.83899688720703,179.19691467285156,5.657260894775391,237.59237670898438,96.8218002319336,124.79000091552734
2018-02-08,36.37008285522461,78.33218383789062,67.5250015258789,170.64381408691406,5.378353595733643,228.68051147460938,96.71587371826172,124.9800033569336
2018-02-09,36.81494903564453,81.25316619873047,66.9800033569336,175.14913940429688,5.7383599281311035,232.11566162109375,96.10472106933594,124.7699966430664
2018-02-12,38.29781723022461,82.12852478027344,69.3115005493164,175.44749450683594,5.638220310211182,235.52413940429688,96.52845764160156,125.37000274658203
2018-02-13,38.68147659301758,82.77354431152344,70.72550201416016,172.2052764892578,5.751960277557373,236.1099853515625,96.9603500366211,126.08000183105469
2018-02-14,39.39464569091797,84.06963348388672,72.55249786376953,178.54052734375,5.969298362731934,239.2965545654297,95.88468170166016,128.22999572753906
2018-02-15,40.717464447021484,85.78231811523438,73.08799743652344,178.9781036376953,6.094906330108643,242.35006713867188,96.2106704711914,128.3800048828125
2018-02-16,40.58563995361328,85.17129516601562,72.43450164794922,176.39230346679688,6.029134750366211,242.42108154296875,96.73219299316406,127.95999908447266
2018-02-20,40.449134826660156,85.8378677368164,73.4175033569336,175.04966735839844,6.158699035644531,240.90322875976562,96.3084487915039,126.23999786376953
2018-02-21,40.265533447265625,84.69915008544922,74.14600372314453,176.93930053710938,5.971524238586426,239.70484924316406,95.12689208984375,125.66000366210938
2018-02-22,40.60213088989258,84.92134857177734,74.26699829101562,178.013427734375,5.991069316864014,240.01560974121094,95.41206359863281,126.30000305175781
2018-02-23,41.308250427246094,87.07838439941406,75.0,182.28994750976562,6.084590911865234,243.8412628173828,96.25956726074219,126.13999938964844
2018-02-26,42.12499237060547,88.33745574951172,76.09750366210938,183.92098999023438,6.100673675537109,246.67282104492188,96.2921371459961,126.44999694824219
2018-02-27,41.98848342895508,87.2080078125,75.5989990234375,180.46994018554688,6.087808609008789,243.59275817871094,96.15359497070312,125.12999725341797
