Date,AAPL
2018-01-02,40.3809928894043
2018-01-03,40.373966217041016
2018-01-04,40.56149673461914
2018-01-05,41.0233039855957
2018-01-08,40.87093734741211
2018-01-09,40.866249084472656
2018-01-10,40.856868743896484
2018-01-11,41.08894348144531
2018-01-12,41.513240814208984
2018-01-16,41.30226516723633
2018-01-17,41.98442459106445
2018-01-18,42.02192687988281
2018-01-19,41.83439636230469
2018-01-22,41.49214172363281
2018-01-23,41.501522064208984
2018-01-24,40.84046173095703
2018-01-25,40.111412048339844
2018-01-26,40.2051887512207
2018-01-29,39.37299346923828
2018-01-30,39.14091873168945
2018-01-31,39.248756408691406
2018-02-01,39.3307991027832
2018-02-02,37.62422180175781
2018-02-05,36.6842041015625
2018-02-06,38.217323303222656
2018-02-07,37.3991813659668
2018-02-08,36.37008285522461
2018-02-09,36.81494903564453
2018-02-12,38.29781723022461
2018-02-13,38.68147659301758
2018-02-14,39.39464569091797
2018-02-15,40.717464447021484
2018-02-16,40.58563995361328
2018-02-20,40.449134826660156
2018-02-21,40.265533447265625
2018-02-22,40.60213088989258
2018-02-23,41.308250427246094
2018-02-26,42.12499237060547
2018-02-27,41.98848342895508
2018-02-28,41.924930572509766
2018-03-01,41.19055938720703
2018-03-02,41.475364685058594
2018-03-05,41.61894989013672
2018-03-06,41.58364486694336
2018-03-07,41.1976203918457
2018-03-08,41.64719772338867
2018-03-09,42.36272430419922
2018-03-12,42.772281646728516
2018-03-13,42.36037826538086
2018-03-14,42.000247955322266
2018-03-15,42.049678802490234
2018-03-16,41.901390075683594
2018-03-19,41.261173248291016
2018-03-20,41.24705505371094
2018-03-21,40.31261444091797
2018-03-22,39.74301528930664
2018-03-23,38.82268524169922
2018-03-26,40.66567611694336
2018-03-27,39.62296676635742
2018-03-28,39.18516540527344
2018-03-29,39.491153717041016
2018-04-02,39.23224639892578
2018-04-03,39.634735107421875
2018-04-04,40.39263153076172
2018-04-05,40.6727409362793
2018-04-06,39.63238525390625
2018-04-09,40.025455474853516
2018-04-10,40.77865219116211
2018-04-11,40.588008880615234
2018-04-12,40.988136291503906
2018-04-13,41.12700653076172
2018-04-16,41.38357162475586
2018-04-17,41.95317840576172
2018-04-18,41.8590202331543
2018-04-19,40.6727409362793
2018-04-20,39.00628662109375
2018-04-23,38.893310546875
2018-04-24,38.35193634033203
2018-04-25,38.519046783447266
2018-04-26,38.65321731567383
2018-04-27,38.20601272583008
2018-04-30,38.898014068603516
2018-05-01,39.801849365234375
2018-05-02,41.560089111328125
2018-05-03,41.63542175292969
2018-05-04,43.268917083740234
2018-05-07,43.581966400146484
2018-05-08,43.79145050048828
2018-05-09,44.099788665771484
2018-05-10,44.730594635009766
2018-05-11,44.56046676635742
2018-05-14,44.45650100708008
2018-05-15,44.0524787902832
2018-05-16,44.46360397338867
2018-05-17,44.18242263793945
2018-05-18,44.0217399597168
2018-05-21,44.333656311035156
2018-05-22,44.22257995605469
2018-05-23,44.50613784790039
2018-05-24,44.45650100708008
2018-05-25,44.558109283447266
2018-05-29,44.39743423461914
2018-05-30,44.30292510986328
2018-05-31,44.15406799316406
2018-06-01,44.95033645629883
2018-06-04,45.326026916503906
2018-06-05,45.675716400146484
2018-06-06,45.83403015136719
2018-06-07,45.7111701965332
2018-06-08,45.29530334472656
2018-06-11,45.184261322021484
2018-06-12,45.43235778808594
2018-06-13,45.05902862548828
2018-06-14,45.08264923095703
2018-06-15,44.61953353881836
2018-06-18,44.595916748046875
2018-06-19,43.87525177001953
2018-06-20,44.06664276123047
2018-06-21,43.82090759277344
2018-06-22,43.69330596923828
2018-06-25,43.04354476928711
2018-06-26,43.57754135131836
2018-06-27,43.51373291015625
2018-06-28,43.830352783203125
2018-06-29,43.73820877075195
2018-07-02,44.22731018066406
2018-07-03,43.45703887939453
2018-07-05,43.806732177734375
2018-07-06,44.413978576660156
2018-07-09,45.030670166015625
2018-07-10,44.97633743286133
2018-07-11,44.3927116394043
2018-07-12,45.136993408203125
2018-07-13,45.207881927490234
2018-07-16,45.1086540222168
2018-07-17,45.23622512817383
2018-07-18,44.9881477355957
2018-07-19,45.33784103393555
2018-07-20,45.23387145996094
2018-07-23,45.27403259277344
2018-07-24,45.60247802734375
2018-07-25,46.032501220703125
2018-07-26,45.88838195800781
2018-07-27,45.12519454956055
2018-07-30,44.872371673583984
2018-07-31,44.9621467590332
2018-08-01,47.610870361328125
2018-08-02,49.00257110595703
2018-08-03,49.14435577392578
2018-08-06,49.3995361328125
2018-08-07,48.93642044067383
2018-08-08,48.96949768066406
2018-08-09,49.354637145996094
2018-08-10,49.20763397216797
2018-08-13,49.525360107421875
2018-08-14,49.7340202331543
2018-08-15,49.85021209716797
2018-08-16,50.580509185791016
2018-08-17,51.590606689453125
2018-08-20,51.087921142578125
2018-08-21,50.988338470458984
2018-08-22,50.9907112121582
2018-08-23,51.095027923583984
2018-08-24,51.25389862060547
2018-08-27,51.67595291137695
2018-08-28,52.0932731628418
2018-08-29,52.870994567871094
2018-08-30,53.35707092285156
2018-08-31,53.97355651855469
2018-09-04,54.14665603637695
2018-09-05,53.79335021972656
2018-09-06,52.899452209472656
2018-09-07,52.4726448059082
2018-09-10,51.76842498779297
2018-09-11,53.07728958129883
2018-09-12,52.41811752319336
2018-09-13,53.68428421020508
2018-09-14,53.074913024902344
2018-09-17,51.661739349365234
2018-09-18,51.74708557128906
2018-09-19,51.777923583984375
2018-09-20,52.17152786254883
2018-09-21,51.609561920166016
2018-09-24,52.35172653198242
2018-09-25,52.683677673339844
2018-09-26,52.26398849487305
