Price,SPY
Ticker,SPY
Date,
2018-01-02,238.56869506835938
2018-01-03,240.07769775390625
2018-01-04,241.0896453857422
2018-01-05,242.69625854492188
2018-01-08,243.14010620117188
2018-01-09,243.6903533935547
2018-01-10,243.31756591796875
2018-01-11,245.09278869628906
2018-01-12,246.6905975341797
2018-01-16,245.8473663330078
2018-01-17,248.19070434570312
2018-01-18,247.77345275878906
2018-01-19,248.90072631835938
2018-01-22,250.92454528808594
2018-01-23,251.45704650878906
2018-01-24,251.3594970703125
2018-01-25,251.4660186767578
2018-01-26,254.37741088867188
2018-01-29,252.69094848632812
2018-01-30,250.09912109375
2018-01-31,250.22340393066406
2018-02-01,249.9392852783203
2018-02-02,244.4981689453125
2018-02-05,234.27264404296875
2018-02-06,238.8883056640625
2018-02-07,237.5923614501953
2018-02-08,228.68051147460938
2018-02-09,232.1156768798828
2018-02-12,235.52413940429688
2018-02-13,236.1099853515625
2018-02-14,239.29656982421875
2018-02-15,242.35009765625
2018-02-16,242.42105102539062
2018-02-20,240.90318298339844
2018-02-21,239.70484924316406
2018-02-22,240.01564025878906
2018-02-23,243.8412322998047
2018-02-26,246.67286682128906
2018-02-27,243.59278869628906
2018-02-28,241.12513732910156
2018-03-01,237.61898803710938
2018-03-02,238.84396362304688
2018-03-05,241.6044158935547
2018-03-06,242.2169189453125
2018-03-07,242.12811279296875
2018-03-08,243.2998046875
2018-03-09,247.5338592529297
2018-03-12,247.22315979003906
2018-03-13,245.62539672851562
2018-03-14,244.36489868164062
2018-03-15,244.09864807128906
2018-03-16,244.36341857910156
2018-03-19,241.05703735351562
2018-03-20,241.46702575683594
2018-03-21,241.00360107421875
2018-03-22,234.97915649414062
2018-03-23,229.9706573486328
2018-03-26,236.26243591308594
2018-03-27,232.24317932128906
2018-03-28,231.55702209472656
2018-03-29,234.51576232910156
2018-04-02,229.45379638671875
2018-04-03,232.39466857910156
2018-04-04,234.8811492919922
2018-04-05,236.7348175048828
2018-04-06,231.45901489257812
2018-04-09,232.5996551513672
2018-04-10,236.298095703125
2018-04-11,235.0593719482422
2018-04-12,236.99327087402344
2018-04-13,236.298095703125
2018-04-16,238.2408905029297
2018-04-17,240.78970336914062
2018-04-18,240.96800231933594
2018-04-19,239.6312255859375
2018-04-20,237.59918212890625
2018-04-23,237.5636444091797
2018-04-24,234.36422729492188
2018-04-25,234.94351196289062
2018-04-26,237.33193969726562
2018-04-27,237.5546875
2018-04-30,235.72779846191406
2018-05-01,236.14659118652344
2018-05-02,234.56028747558594
2018-05-03,234.04344177246094
2018-05-04,237.073486328125
2018-05-07,237.87550354003906
2018-05-08,237.87550354003906
2018-05-09,240.1747283935547
2018-05-10,242.42054748535156
2018-05-11,243.16026306152344
2018-05-14,243.276123046875
2018-05-15,241.60067749023438
2018-05-16,242.61666870117188
2018-05-17,242.41165161132812
2018-05-18,241.80567932128906
2018-05-21,243.62359619140625
2018-05-22,242.9464111328125
2018-05-23,243.61474609375
2018-05-24,243.11572265625
2018-05-25,242.53640747070312
2018-05-29,239.7469482421875
2018-05-30,242.9464111328125
2018-05-31,241.4580841064453
2018-06-01,243.82870483398438
2018-06-04,244.9871826171875
2018-06-05,245.1654815673828
2018-06-06,247.21510314941406
2018-06-07,247.18846130371094
2018-06-08,247.919189453125
2018-06-11,248.2489471435547
2018-06-12,248.56976318359375
2018-06-13,247.77659606933594
2018-06-14,248.40048217773438
2018-06-15,248.0835418701172
2018-06-18,247.57327270507812
2018-06-19,246.62437438964844
2018-06-20,247.045166015625
2018-06-21,245.49647521972656
2018-06-22,245.94395446777344
2018-06-25,242.59608459472656
2018-06-26,243.13319396972656
2018-06-27,241.1190185546875
2018-06-28,242.49761962890625
2018-06-29,242.84669494628906
2018-07-02,243.3658905029297
2018-07-03,242.50650024414062
2018-07-05,244.48492431640625
2018-07-06,246.55282592773438
2018-07-09,248.77279663085938
2018-07-10,249.66806030273438
2018-07-11,247.8419189453125
2018-07-12,250.0887908935547
2018-07-13,250.28567504882812
2018-07-16,250.06192016601562
2018-07-17,251.07347106933594
2018-07-18,251.6016387939453
2018-07-19,250.6526336669922
2018-07-20,250.3662567138672
2018-07-23,250.83177185058594
2018-07-24,252.09400939941406
2018-07-25,254.2424774169922
2018-07-26,253.6427001953125
2018-07-27,251.92388916015625
2018-07-30,250.6079559326172
2018-07-31,251.84332275390625
2018-08-01,251.42254638671875
2018-08-02,252.7922821044922
2018-08-03,253.87545776367188
2018-08-06,254.80638122558594
2018-08-07,255.64781188964844
2018-08-08,255.54051208496094
2018-08-09,255.19131469726562
2018-08-10,253.48146057128906
2018-08-13,252.53265380859375
2018-08-14,254.1439666748047
2018-08-15,252.2462158203125
2018-08-16,254.28721618652344
2018-08-17,255.18235778808594
2018-08-20,255.728515625
2018-08-21,256.32818603515625
2018-08-22,256.1759948730469
2018-08-23,255.83578491210938
2018-08-24,257.3756408691406
2018-08-27,259.4077453613281
2018-08-28,259.53302001953125
2018-08-29,260.9295349121094
2018-08-30,259.8731384277344
2018-08-31,259.8821105957031
2018-09-04,259.43450927734375
2018-09-05,258.7362060546875
2018-09-06,257.9574890136719
2018-09-07,257.4561767578125
2018-09-10,257.9037780761719
2018-09-11,258.754150390625
2018-09-12,258.81683349609375
2018-09-13,260.3476257324219
2018-09-14,260.3924255371094
2018-09-17,259.01373291015625
2018-09-18,260.41925048828125
2018-09-19,260.6968078613281
2018-09-20,262.8093566894531
2018-09-21,262.5693054199219
2018-09-24,261.6969909667969
2018-09-25,261.4542236328125
2018-09-26,260.6718444824219
