Price,MSFT
Ticker,MSFT
Date,
2018-01-02,79.19831848144531
2018-01-03,79.56689453125
2018-01-04,80.26721954345703
2018-01-05,81.26237487792969
2018-01-08,81.34529113769531
2018-01-09,81.2900161743164
2018-01-10,80.92143249511719
2018-01-11,81.16100311279297
2018-01-12,82.56160736083984
2018-01-16,81.40979766845703
2018-01-17,83.0592041015625
2018-01-18,83.02233123779297
2018-01-19,82.93020629882812
2018-01-22,84.41374206542969
2018-01-23,84.68093872070312
2018-01-24,84.6072006225586
2018-01-25,85.0771713256836
2018-01-26,86.67127227783203
2018-01-29,86.54224395751953
2018-01-30,85.4549560546875
2018-01-31,87.54662322998047
2018-02-01,86.85553741455078
2018-02-02,84.57037353515625
2018-02-05,81.08731842041016
2018-02-06,84.15570831298828
2018-02-07,82.5708236694336
2018-02-08,78.33216094970703
2018-02-09,81.25314331054688
2018-02-12,82.1285171508789
2018-02-13,82.77354431152344
2018-02-14,84.06962585449219
2018-02-15,85.78230285644531
2018-02-16,85.17129516601562
2018-02-20,85.83784484863281
2018-02-21,84.69915771484375
2018-02-22,84.92134857177734
2018-02-23,87.07839965820312
2018-02-26,88.33746337890625
2018-02-27,87.20800018310547
2018-02-28,86.80994415283203
2018-03-01,85.95822143554688
2018-03-02,86.14339447021484
2018-03-05,86.6895523071289
2018-03-06,86.3933334350586
2018-03-07,86.89325714111328
2018-03-08,87.42092895507812
2018-03-09,89.37431335449219
2018-03-12,89.5872573852539
2018-03-13,87.4024429321289
2018-03-14,86.88397979736328
2018-03-15,87.1894760131836
2018-03-16,87.57831573486328
2018-03-19,85.99524688720703
2018-03-20,86.21742248535156
2018-03-21,85.61569213867188
2018-03-22,83.12535095214844
2018-03-23,80.70906829833984
2018-03-26,86.81918334960938
2018-03-27,82.82909393310547
2018-03-28,82.75504302978516
2018-03-29,84.4954833984375
2018-04-02,81.94959259033203
2018-04-03,83.05127716064453
2018-04-04,85.476806640625
2018-04-05,85.52310180664062
2018-04-06,83.53268432617188
2018-04-09,84.03260040283203
2018-04-10,85.9859848022461
2018-04-11,85.04169464111328
2018-04-12,86.63404083251953
2018-04-13,86.17115783691406
2018-04-16,87.18023681640625
2018-04-17,88.9391860961914
2018-04-18,89.28175354003906
2018-04-19,88.97623443603516
2018-04-20,87.9486083984375
2018-04-23,88.27263641357422
2018-04-24,86.20818328857422
2018-04-25,85.45826721191406
2018-04-26,87.26355743408203
2018-04-27,88.70775604248047
2018-04-30,86.57848358154297
2018-05-01,87.9486083984375
2018-05-02,86.5692367553711
2018-05-03,87.08763885498047
2018-05-04,88.09675598144531
2018-05-07,89.07804870605469
2018-05-08,88.69850158691406
2018-05-09,89.7446517944336
2018-05-10,90.64264678955078
2018-05-11,90.44823455810547
2018-05-14,90.75374603271484
2018-05-15,90.096435546875
2018-05-16,90.32887268066406
2018-05-17,89.42696380615234
2018-05-18,89.5943374633789
2018-05-21,90.74729919433594
2018-05-22,90.65430450439453
2018-05-23,91.73286437988281
2018-05-24,91.40744018554688
2018-05-25,91.45391845703125
2018-05-29,91.12849426269531
2018-05-30,92.00248718261719
2018-05-31,91.90019989013672
2018-06-01,93.71330261230469
2018-06-04,94.53152465820312
2018-06-05,95.01500701904297
2018-06-06,95.2939224243164
2018-06-07,93.7969970703125
2018-06-08,94.49431610107422
2018-06-11,93.95503997802734
2018-06-12,94.19678497314453
2018-06-13,93.76909637451172
2018-06-14,94.29907989501953
2018-06-15,93.09961700439453
2018-06-18,93.77838134765625
2018-06-19,93.77838134765625
2018-06-20,94.71745300292969
2018-06-21,94.0387191772461
2018-06-22,93.35999298095703
2018-06-25,91.4818115234375
2018-06-26,92.12337493896484
2018-06-27,90.69149017333984
2018-06-28,91.70494842529297
2018-06-29,91.68637084960938
2018-07-02,92.9880599975586
2018-07-03,92.09546661376953
2018-07-05,92.75563049316406
2018-07-06,94.05732727050781
2018-07-09,94.6988754272461
2018-07-10,94.94994354248047
2018-07-11,94.81974792480469
2018-07-12,96.87458038330078
2018-07-13,98.02751922607422
2018-07-16,97.54402923583984
2018-07-17,98.51100158691406
2018-07-18,97.7392807006836
2018-07-19,97.06983184814453
2018-07-20,98.80854034423828
2018-07-23,100.3891830444336
2018-07-24,100.1009521484375
2018-07-25,103.0483627319336
2018-07-26,101.92333221435547
2018-07-27,100.11954498291016
2018-07-30,97.97174835205078
2018-07-31,98.63188171386719
2018-08-01,98.81783294677734
2018-08-02,100.01727294921875
2018-08-03,100.45426177978516
2018-08-06,100.53795623779297
2018-08-07,101.23529052734375
2018-08-08,101.80245971679688
2018-08-09,101.96981048583984
2018-08-10,101.34687042236328
2018-08-13,100.6123275756836
2018-08-14,101.86752319335938
2018-08-15,100.48616790771484
2018-08-16,100.46749114990234
2018-08-17,100.41146087646484
2018-08-20,99.74879455566406
2018-08-21,98.91809844970703
2018-08-22,99.92613220214844
2018-08-23,100.39281463623047
2018-08-24,101.17684173583984
2018-08-27,102.296875
2018-08-28,102.91291809082031
2018-08-29,104.55561065673828
2018-08-30,104.49028778076172
2018-08-31,104.8449935913086
2018-09-04,104.26628875732422
2018-09-05,101.2608413696289
2018-09-06,101.49420166015625
2018-09-07,100.99951934814453
2018-09-10,102.0915298461914
2018-09-11,103.82759857177734
2018-09-12,104.26628875732422
2018-09-13,105.3863296508789
2018-09-14,105.81568145751953
2018-09-17,104.66763305664062
2018-09-18,105.66633605957031
2018-09-19,104.25695037841797
2018-09-20,106.0023422241211
2018-09-21,106.64637756347656
2018-09-24,107.02904510498047
2018-09-25,106.8237075805664
