Date,NVDA
2018-01-02,4.929084777832031
2018-01-03,5.253488063812256
2018-01-04,5.281179904937744
2018-01-05,5.325933933258057
2018-01-08,5.489124774932861
2018-01-09,5.487639904022217
2018-01-10,5.530663013458252
2018-01-11,5.540554523468018
2018-01-12,5.513356685638428
2018-01-16,5.442392349243164
2018-01-17,5.556378364562988
2018-01-18,5.549454689025879
2018-01-19,5.689651012420654
2018-01-22,5.778168201446533
2018-01-23,5.907238483428955
2018-01-24,5.830338954925537
2018-01-25,5.843940258026123
2018-01-26,6.016525745391846
2018-01-29,6.103560447692871
2018-01-30,6.001441955566406
2018-01-31,6.0775980949401855
2018-02-01,5.94655179977417
2018-02-02,5.773965358734131
2018-02-05,5.283899307250977
2018-02-06,5.577641010284424
2018-02-07,5.657260894775391
2018-02-08,5.378353595733643
2018-02-09,5.7383599281311035
2018-02-12,5.638220310211182
2018-02-13,5.751960277557373
2018-02-14,5.969298362731934
2018-02-15,6.094906330108643
2018-02-16,6.029134750366211
2018-02-20,6.158699035644531
2018-02-21,5.971524238586426
2018-02-22,5.991069316864014
2018-02-23,6.084590911865234
2018-02-26,6.100673675537109
2018-02-27,6.087808609008789
2018-02-28,5.987359046936035
2018-03-01,5.745142936706543
2018-03-02,5.852272033691406
2018-03-05,5.830252647399902
2018-03-06,5.991317272186279
2018-03-07,5.983401298522949
2018-03-08,5.967070579528809
2018-03-09,6.069747447967529
2018-03-12,6.179349899291992
2018-03-13,6.1286301612854
2018-03-14,6.154115200042725
2018-03-15,6.168959617614746
2018-03-16,6.197164058685303
2018-03-19,5.962617874145508
2018-03-20,6.174896717071533
2018-03-21,6.149662017822266
2018-03-22,5.983646869659424
2018-03-23,5.763946533203125
2018-03-26,6.0487165451049805
2018-03-27,5.579624176025391
2018-03-28,5.4764533042907715
2018-03-29,5.729804039001465
2018-04-02,5.469032287597656
2018-04-03,5.5754194259643555
2018-04-04,5.597437858581543
2018-04-05,5.477197170257568
2018-04-06,5.300790309906006
2018-04-09,5.329489231109619
2018-04-10,5.638757228851318
2018-04-11,5.597437858581543
2018-04-12,5.80427360534668
2018-04-13,5.727578163146973
2018-04-16,5.727328777313232
2018-04-17,5.877013683319092
2018-04-18,5.8480658531188965
2018-04-19,5.666712284088135
2018-04-20,5.658549785614014
2018-04-23,5.5390496253967285
2018-04-24,5.472742080688477
2018-04-25,5.360418319702148
2018-04-26,5.572203636169434
2018-04-27,5.599664688110352
2018-04-30,5.564285755157471
2018-05-01,5.619706153869629
2018-05-02,5.599170684814453
2018-05-03,5.76444149017334
2018-05-04,5.914619445800781
2018-05-07,6.15263032913208
2018-05-08,6.195184230804443
2018-05-09,6.3282904624938965
2018-05-10,6.435916900634766
2018-05-11,6.297364711761475
2018-05-14,6.317899703979492
2018-05-15,6.075437545776367
2018-05-16,6.086570739746094
2018-05-17,6.1286301612854
2018-05-18,6.084838390350342
2018-05-21,6.042778968811035
2018-05-22,6.004678726196289
2018-05-23,6.128211975097656
2018-05-24,6.131925582885742
2018-05-25,6.17128849029541
2018-05-29,6.154207229614258
2018-05-30,6.263134956359863
2018-05-31,6.2433295249938965
2018-06-01,6.377757549285889
2018-06-04,6.556746959686279
2018-06-05,6.562193393707275
2018-06-06,6.564173698425293
2018-06-07,6.508472442626953
2018-06-08,6.493122100830078
2018-06-11,6.452025890350342
2018-06-12,6.500548839569092
2018-06-13,6.49609375
2018-06-14,6.6077446937561035
2018-06-15,6.566896438598633
2018-06-18,6.562688827514648
2018-06-19,6.4408860206604
2018-06-20,6.493865013122559
2018-06-21,6.365132808685303
2018-06-22,6.2126312255859375
2018-06-25,5.91976261138916
2018-06-26,5.990814208984375
2018-06-27,5.8355913162231445
2018-06-28,5.962839603424072
2018-06-29,5.864804267883301
2018-07-02,5.997003555297852
2018-07-03,5.863319396972656
2018-07-05,6.009133338928223
2018-07-06,6.123012065887451
2018-07-09,6.1705451011657715
2018-07-10,6.2695722579956055
2018-07-11,6.127965927124023
2018-07-12,6.2195634841918945
2018-07-13,6.172278881072998
2018-07-16,6.144552230834961
2018-07-17,6.280464172363281
2018-07-18,6.231199264526367
2018-07-19,6.239368915557861
2018-07-20,6.211146354675293
2018-07-23,6.174506187438965
2018-07-24,6.157177448272705
2018-07-25,6.235408306121826
2018-07-26,6.308933258056641
2018-07-27,6.239121437072754
2018-07-30,6.043792724609375
2018-07-31,6.06186580657959
2018-08-01,6.101722240447998
2018-08-02,6.204461097717285
2018-08-03,6.241101264953613
2018-08-06,6.288883209228516
2018-08-07,6.361169338226318
2018-08-08,6.397563934326172
2018-08-09,6.349039554595947
2018-08-10,6.3076958656311035
2018-08-13,6.340621471405029
2018-08-14,6.472079277038574
2018-08-15,6.4139018058776855
2018-08-16,6.373301029205322
2018-08-17,6.0608744621276855
2018-08-20,6.1356377601623535
2018-08-21,6.271304607391357
2018-08-22,6.506491661071777
2018-08-23,6.606011390686035
2018-08-24,6.739201545715332
2018-08-27,6.8303046226501465
2018-08-28,6.792674541473389
2018-08-29,6.898194789886475
2018-08-30,6.881352424621582
2018-08-31,6.952441215515137
2018-09-04,7.027247428894043
2018-09-05,6.89646053314209
2018-09-06,6.755273342132568
2018-09-07,6.733970642089844
2018-09-10,6.805060863494873
2018-09-11,6.757254600524902
2018-09-12,6.643312931060791
2018-09-13,6.7210917472839355
2018-09-14,6.847169876098633
2018-09-17,6.785244941711426
2018-09-18,6.713164329528809
2018-09-19,6.73694372177124
2018-09-20,6.595753192901611
2018-09-21,6.525654315948486
2018-09-24,6.581387996673584
