Price,TLT
Ticker,TLT
Date,
2018-01-02,102.04441833496094
2018-01-03,102.5323257446289
2018-01-04,102.51610565185547
2018-01-05,102.22335052490234
2018-01-08,102.15831756591797
2018-01-09,100.79216766357422
2018-01-10,100.67023468017578
2018-01-11,101.08493041992188
2018-01-12,101.25566864013672
2018-01-16,101.67855072021484
2018-01-17,101.54029083251953
2018-01-18,100.59699249267578
2018-01-19,100.06846618652344
2018-01-22,100.16605377197266
2018-01-23,100.59699249267578
2018-01-24,100.05220031738281
2018-01-25,100.87348175048828
2018-01-26,100.4994125366211
2018-01-29,99.80011749267578
2018-01-30,99.21463775634766
2018-01-31,99.80011749267578
2018-02-01,98.35374450683594
2018-02-02,97.44109344482422
2018-02-05,98.36189270019531
2018-02-06,97.7507095336914
2018-02-07,96.8218002319336
2018-02-08,96.71590423583984
2018-02-09,96.1047134399414
2018-02-12,96.5284423828125
2018-02-13,96.96031951904297
2018-02-14,95.88471221923828
2018-02-15,96.2106704711914
2018-02-16,96.73217010498047
2018-02-20,96.30845642089844
2018-02-21,95.12688446044922
2018-02-22,95.41209411621094
2018-02-23,96.25956726074219
2018-02-26,96.29214477539062
2018-02-27,96.15361785888672
2018-02-28,96.7647705078125
2018-03-01,97.4253158569336
2018-03-02,96.63329315185547
2018-03-05,96.37203216552734
2018-03-06,96.46183013916016
2018-03-07,96.35568237304688
2018-03-08,96.91094207763672
2018-03-09,96.27404022216797
2018-03-12,96.82925415039062
2018-03-13,97.3191909790039
2018-03-14,98.17646026611328
2018-03-15,98.17646026611328
2018-03-16,97.8254165649414
2018-03-19,97.51513671875
2018-03-20,97.1231918334961
2018-03-21,97.22933959960938
2018-03-22,98.19283294677734
2018-03-23,98.11937713623047
2018-03-26,97.74372863769531
2018-03-27,98.78888702392578
2018-03-28,99.05016326904297
2018-03-29,99.5318603515625
2018-04-02,99.728271484375
2018-04-03,98.95912170410156
2018-04-04,98.75459289550781
2018-04-05,98.01815032958984
2018-04-06,99.09000396728516
2018-04-09,99.25372314453125
2018-04-10,99.07368469238281
2018-04-11,99.42550659179688
2018-04-12,98.69729614257812
2018-04-13,98.92636108398438
2018-04-16,98.95912170410156
2018-04-17,99.22915649414062
2018-04-18,98.4354476928711
2018-04-19,97.63356018066406
2018-04-20,96.92984771728516
2018-04-23,96.95443725585938
2018-04-24,96.51254272460938
2018-04-25,95.86611938476562
2018-04-26,96.53710174560547
2018-04-27,97.28170776367188
2018-04-30,97.45352935791016
2018-05-01,97.1025390625
2018-05-02,96.99598693847656
2018-05-03,97.43058013916016
2018-05-04,97.57815551757812
2018-05-07,97.4223861694336
2018-05-08,97.33218383789062
2018-05-09,96.74993896484375
2018-05-10,97.52896881103516
2018-05-11,97.7750244140625
2018-05-14,97.25835418701172
2018-05-15,96.15132904052734
2018-05-16,95.78225708007812
2018-05-17,95.29843139648438
2018-05-18,96.11847686767578
2018-05-21,96.16767883300781
2018-05-22,96.02008056640625
2018-05-23,96.71710205078125
2018-05-24,97.48796844482422
2018-05-25,98.0948715209961
2018-05-29,100.24337005615234
2018-05-30,99.5709228515625
2018-05-31,99.40690612792969
2018-06-01,98.8817138671875
2018-06-04,98.16656494140625
2018-06-05,98.3967056274414
2018-06-06,97.59942626953125
2018-06-07,98.544677734375
2018-06-08,98.248779296875
2018-06-11,98.06793212890625
2018-06-12,98.09255981445312
2018-06-13,98.04326629638672
2018-06-14,98.85706329345703
2018-06-15,98.9474105834961
2018-06-18,98.85706329345703
2018-06-19,99.43238067626953
2018-06-20,98.56111145019531
2018-06-21,99.07892608642578
2018-06-22,99.07075500488281
2018-06-25,99.29268646240234
2018-06-26,99.43238067626953
2018-06-27,100.3694076538086
2018-06-28,100.3940658569336
2018-06-29,100.0488510131836
2018-07-02,99.97058868408203
2018-07-03,100.5060806274414
2018-07-05,100.79438781738281
2018-07-06,101.1239242553711
2018-07-09,100.47313690185547
2018-07-10,100.4648666381836
2018-07-11,100.85208129882812
2018-07-12,100.8438491821289
2018-07-13,101.09922790527344
2018-07-16,100.67906188964844
2018-07-17,100.48960876464844
2018-07-18,100.08592987060547
2018-07-19,100.72025299072266
2018-07-20,99.48454284667969
2018-07-23,98.25704956054688
2018-07-24,98.59480285644531
2018-07-25,98.43829345703125
2018-07-26,98.2488021850586
2018-07-27,98.41356658935547
2018-07-30,98.07579803466797
2018-07-31,98.61127471923828
2018-08-01,97.80791473388672
2018-08-02,97.94828033447266
2018-08-03,98.43539428710938
2018-08-06,98.49321746826172
2018-08-07,97.98130798339844
2018-08-08,98.08038330078125
2018-08-09,98.90608215332031
2018-08-10,99.6243667602539
2018-08-13,99.41795349121094
2018-08-14,99.19502258300781
2018-08-15,99.7729721069336
2018-08-16,99.76476287841797
2018-08-17,99.88861083984375
2018-08-20,100.55735778808594
2018-08-21,100.21884155273438
2018-08-22,100.61516571044922
2018-08-23,100.77206420898438
2018-08-24,100.97022247314453
2018-08-27,100.39221954345703
2018-08-28,99.78950500488281
2018-08-29,99.92162322998047
2018-08-30,100.13628387451172
2018-08-31,99.90506744384766
2018-09-04,99.3274917602539
2018-09-05,99.06265258789062
2018-09-06,99.42681884765625
2018-09-07,98.58272552490234
2018-09-10,98.94683837890625
2018-09-11,98.19380187988281
2018-09-12,98.4255142211914
2018-09-13,98.57444763183594
2018-09-14,98.102783203125
2018-09-17,98.102783203125
2018-09-18,97.07658386230469
2018-09-19,96.49740600585938
2018-09-20,96.9442367553711
2018-09-21,96.90287780761719
2018-09-24,96.65458679199219
2018-09-25,96.5552749633789
