Date,META
2018-01-02,180.4301300048828
2018-01-03,183.66241455078125
2018-01-04,183.32427978515625
2018-01-05,185.83053588867188
2018-01-08,187.25271606445312
2018-01-09,186.84494018554688
2018-01-10,186.8151092529297
2018-01-11,186.74551391601562
2018-01-12,178.39132690429688
2018-01-16,177.4166717529297
2018-01-17,176.63099670410156
2018-01-18,178.8189697265625
2018-01-19,180.3008575439453
2018-01-22,184.3585968017578
2018-01-23,188.31686401367188
2018-01-24,185.53216552734375
2018-01-25,186.45709228515625
2018-01-26,188.96331787109375
2018-01-29,184.9652557373047
2018-01-30,186.0990447998047
2018-01-31,185.8702850341797
2018-02-01,192.03648376464844
2018-02-02,189.24180603027344
2018-02-05,180.27102661132812
2018-02-06,184.29893493652344
2018-02-07,179.19691467285156
2018-02-08,170.64381408691406
2018-02-09,175.14913940429688
2018-02-12,175.44749450683594
2018-02-13,172.2052764892578
2018-02-14,178.54052734375
2018-02-15,178.9781036376953
2018-02-16,176.39230346679688
2018-02-20,175.04966735839844
2018-02-21,176.93930053710938
2018-02-22,178.013427734375
2018-02-23,182.28994750976562
2018-02-26,183.92098999023438
2018-02-27,180.46994018554688
2018-02-28,177.34707641601562
2018-03-01,174.9800567626953
2018-03-02,175.65634155273438
2018-03-05,179.41571044921875
2018-03-06,178.79908752441406
2018-03-07,182.70765686035156
2018-03-08,181.3451385498047
2018-03-09,184.2193603515625
2018-03-12,183.75192260742188
2018-03-13,180.88766479492188
2018-03-14,183.18502807617188
2018-03-15,182.85682678222656
2018-03-16,184.0801239013672
2018-03-19,171.61846923828125
2018-03-20,167.23255920410156
2018-03-21,168.4657745361328
2018-03-22,163.99032592773438
2018-03-23,158.52035522460938
2018-03-26,159.1866912841797
2018-03-27,151.38946533203125
2018-03-28,152.19505310058594
2018-03-29,158.9181671142578
2018-04-02,154.54217529296875
2018-04-03,155.25823974609375
2018-04-04,154.25376892089844
2018-04-05,158.47061157226562
2018-04-06,156.34231567382812
2018-04-09,157.06829833984375
2018-04-10,164.13951110839844
2018-04-11,165.41253662109375
2018-04-12,162.9759063720703
2018-04-13,163.62234497070312
2018-04-16,163.93067932128906
2018-04-17,167.73977661132812
2018-04-18,165.45233154296875
2018-04-19,167.18284606933594
2018-04-20,165.3727569580078
2018-04-23,164.9351348876953
2018-04-24,158.8187255859375
2018-04-25,158.8187255859375
2018-04-26,173.20974731445312
2018-04-27,172.6428680419922
2018-04-30,171.06153869628906
2018-05-01,172.91140747070312
2018-05-02,175.10934448242188
2018-05-03,173.07054138183594
2018-05-04,175.6463623046875
2018-05-07,176.9989776611328
2018-05-08,177.9438018798828
2018-05-09,181.6633758544922
2018-05-10,184.51771545410156
2018-05-11,185.96974182128906
2018-05-14,185.62167358398438
2018-05-15,183.31431579589844
2018-05-16,182.200439453125
2018-05-17,182.75738525390625
2018-05-18,181.6832733154297
2018-05-21,183.4833984375
2018-05-22,182.7971649169922
2018-05-23,185.8802490234375
2018-05-24,184.91554260253906
2018-05-25,183.9110565185547
2018-05-29,184.72657775878906
2018-05-30,186.6460418701172
2018-05-31,190.73362731933594
2018-06-01,192.9315643310547
2018-06-04,192.22544860839844
2018-06-05,191.88729858398438
2018-06-06,190.29600524902344
2018-06-07,187.1532440185547
2018-06-08,188.0682830810547
2018-06-11,190.4949188232422
2018-06-12,191.35023498535156
2018-06-13,191.3601837158203
2018-06-14,195.73614501953125
2018-06-15,194.7814178466797
2018-06-18,197.2279815673828
2018-06-19,196.4124755859375
2018-06-20,200.89785766601562
2018-06-21,200.40060424804688
2018-06-22,200.6392822265625
2018-06-25,195.27870178222656
2018-06-26,197.9142303466797
2018-06-27,194.771484375
2018-06-28,195.1593475341797
2018-06-29,193.25975036621094
2018-07-02,196.2831573486328
2018-07-03,191.67843627929688
2018-07-05,197.36721801757812
2018-07-06,202.1211395263672
2018-07-09,203.62290954589844
2018-07-10,202.42945861816406
2018-07-11,201.43490600585938
2018-07-12,205.791015625
2018-07-13,206.18882751464844
2018-07-16,206.0993194580078
2018-07-17,208.84426879882812
2018-07-18,208.21771240234375
2018-07-19,206.95465087890625
2018-07-20,208.79454040527344
2018-07-23,209.75927734375
2018-07-24,213.4987335205078
2018-07-25,216.31329345703125
2018-07-26,175.2982940673828
2018-07-27,173.93577575683594
2018-07-30,170.12669372558594
2018-07-31,171.6383819580078
2018-08-01,170.71343994140625
2018-08-02,175.40769958496094
2018-08-03,176.8100128173828
2018-08-06,184.67686462402344
2018-08-07,182.80711364746094
2018-08-08,184.16964721679688
2018-08-09,182.09103393554688
2018-08-10,179.2764892578125
2018-08-13,179.06764221191406
2018-08-14,180.12185668945312
2018-08-15,178.5504608154297
2018-08-16,173.74679565429688
2018-08-17,172.85171508789062
2018-08-20,171.55882263183594
2018-08-21,171.67816162109375
2018-08-22,172.69261169433594
2018-08-23,171.95663452148438
2018-08-24,173.6970672607422
2018-08-27,176.4917755126953
2018-08-28,175.2982940673828
2018-08-29,174.9402618408203
2018-08-30,176.67076110839844
2018-08-31,174.77117919921875
2018-09-04,170.22613525390625
2018-09-05,166.26785278320312
2018-09-06,161.64321899414062
2018-09-07,162.15042114257812
2018-09-10,163.28419494628906
2018-09-11,165.03460693359375
2018-09-12,161.1160888671875
2018-09-13,160.4796142578125
2018-09-14,161.4343719482422
2018-09-17,159.70384216308594
2018-09-18,159.42538452148438
2018-09-19,162.1703338623047
2018-09-20,165.1141815185547
2018-09-21,162.041015625
2018-09-24,164.50750732421875
2018-09-25,164.01022338867188
2018-09-26,166.03909301757812
2018-09-27,167.91880798339844
